no;q2;sex;age;work;educ;tenure
4942;not changed;female;65+;not working;high (Degree);owned outright
4943;up by 5% or more;male;25-34;full or part time;high (Degree);owned outright
4944;up by 2% but less than 3%;female;65+;not working;high (Degree);owned outright
4945;up by 5% or more;female;55-64;not working;low (GCSE);other (inc private rent pre-2016)
4946;up by 3% but less than 4%;male;15-24;full or part time;medium (A-Level);mortgage
4947;Gone down;female;25-34;not working;low (GCSE);other (inc private rent pre-2016)
4948;not changed;female;15-24;not working;low (GCSE);council rent
4949;up by 1% but less than 2%;female;65+;not working;medium (A-Level);council rent
4950;up by 2% but less than 3%;female;35-44;not working;medium (A-Level);mortgage
4951;up by 1% or less;female;35-44;full or part time;medium (A-Level);council rent
4952;up by 1% but less than 2%;female;25-34;full or part time;high (Degree);council rent
4953;up by 5% or more;male;65+;not working;low (GCSE);mortgage
4954;up by 4% but less than 5%;female;55-64;not working;medium (A-Level);council rent
4955;up by 1% but less than 2%;male;55-64;full or part time;low (GCSE);owned outright
4956;up by 1% but less than 2%;male;15-24;full or part time;medium (A-Level);owned outright
4957;up by 4% but less than 5%;female;65+;not working;medium (A-Level);owned outright
4958;up by 2% but less than 3%;female;35-44;full or part time;medium (A-Level);mortgage
4959;not changed;female;55-64;not working;medium (A-Level);owned outright
4960;not changed;male;65+;not working;medium (A-Level);owned outright
4961;up by 5% or more;female;55-64;not working;medium (A-Level);owned outright
4962;up by 1% or less;male;55-64;full or part time;medium (A-Level);mortgage
4963;up by 3% but less than 4%;male;65+;full or part time;medium (A-Level);mortgage
4964;up by 2% but less than 3%;female;65+;not working;medium (A-Level);owned outright
4965;not changed;male;35-44;not working;low (GCSE);mortgage
4966;up by 3% but less than 4%;male;35-44;full or part time;high (Degree);mortgage
4967;not changed;male;45-54;full or part time;medium (A-Level);mortgage
4968;not changed;female;45-54;full or part time;medium (A-Level);mortgage
4969;up by 2% but less than 3%;male;35-44;full or part time;high (Degree);mortgage
4970;not changed;male;35-44;full or part time;high (Degree);mortgage
4971;Gone down;male;25-34;full or part time;medium (A-Level);owned outright
4972;not changed;female;35-44;full or part time;medium (A-Level);mortgage
4973;not changed;female;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
4974;Gone down;female;65+;not working;low (GCSE);other (inc private rent pre-2016)
4975;up by 5% or more;male;15-24;not working;medium (A-Level);mortgage
4976;up by 5% or more;female;35-44;full or part time;medium (A-Level);owned outright
4977;up by 4% but less than 5%;female;25-34;not working;low (GCSE);other (inc private rent pre-2016)
4978;up by 2% but less than 3%;male;35-44;not working;medium (A-Level);other (inc private rent pre-2016)
4979;up by 2% but less than 3%;male;25-34;full or part time;medium (A-Level);other (inc private rent pre-2016)
4980;Gone down;male;25-34;full or part time;medium (A-Level);owned outright
4981;Gone down;female;55-64;full or part time;low (GCSE);owned outright
4982;up by 1% but less than 2%;male;35-44;full or part time;medium (A-Level);other (inc private rent pre-2016)
4983;up by 3% but less than 4%;female;55-64;not working;low (GCSE);owned outright
4984;up by 4% but less than 5%;male;15-24;full or part time;medium (A-Level);council rent
4985;up by 1% or less;female;25-34;full or part time;high (Degree);mortgage
4986;up by 4% but less than 5%;male;25-34;full or part time;high (Degree);mortgage
4987;Gone down;male;35-44;full or part time;high (Degree);mortgage
4988;Gone down;male;25-34;full or part time;medium (A-Level);mortgage
4989;up by 5% or more;male;45-54;full or part time;medium (A-Level);mortgage
4990;Gone down;female;35-44;full or part time;medium (A-Level);mortgage
4991;up by 4% but less than 5%;male;45-54;full or part time;medium (A-Level);mortgage
4992;not changed;male;45-54;full or part time;low (GCSE);mortgage
4993;up by 5% or more;female;65+;not working;low (GCSE);council rent
4994;not changed;female;55-64;not working;low (GCSE);council rent
4995;Gone down;female;25-34;full or part time;high (Degree);mortgage
4996;up by 5% or more;male;65+;not working;medium (A-Level);council rent
4997;up by 2% but less than 3%;female;35-44;full or part time;high (Degree);mortgage
4998;up by 2% but less than 3%;male;55-64;not working;medium (A-Level);council rent
4999;not changed;female;35-44;not working;high (Degree);mortgage
5000;up by 2% but less than 3%;male;45-54;full or part time;medium (A-Level);mortgage
5001;up by 5% or more;male;45-54;full or part time;high (Degree);mortgage
5002;up by 2% but less than 3%;male;55-64;full or part time;high (Degree);owned outright
5003;up by 1% but less than 2%;female;15-24;not working;medium (A-Level);mortgage
5004;up by 1% but less than 2%;female;45-54;full or part time;high (Degree);owned outright
5005;up by 3% but less than 4%;male;15-24;not working;medium (A-Level);council rent
5006;up by 5% or more;female;35-44;full or part time;medium (A-Level);owned outright
5007;up by 5% or more;female;55-64;not working;medium (A-Level);owned outright
5008;up by 2% but less than 3%;female;25-34;full or part time;high (Degree);mortgage
5009;up by 4% but less than 5%;male;65+;not working;medium (A-Level);owned outright
5010;not changed;female;35-44;full or part time;medium (A-Level);mortgage
5011;up by 5% or more;male;25-34;full or part time;high (Degree);owned outright
5012;up by 5% or more;male;25-34;not working;medium (A-Level);owned outright
5013;up by 3% but less than 4%;female;25-34;full or part time;medium (A-Level);mortgage
5014;not changed;male;15-24;full or part time;medium (A-Level);owned outright
5015;not changed;male;45-54;full or part time;medium (A-Level);mortgage
5016;up by 1% but less than 2%;male;45-54;full or part time;high (Degree);mortgage
5017;up by 2% but less than 3%;male;55-64;full or part time;high (Degree);mortgage
5018;up by 3% but less than 4%;male;65+;not working;low (GCSE);owned outright
5019;not changed;male;15-24;full or part time;high (Degree);mortgage
5020;not changed;male;25-34;not working;high (Degree);other (inc private rent pre-2016)
5021;up by 5% or more;male;45-54;full or part time;low (GCSE);council rent
5022;up by 3% but less than 4%;male;35-44;not working;low (GCSE);council rent
5023;not changed;male;25-34;full or part time;medium (A-Level);council rent
5024;Gone down;female;35-44;not working;medium (A-Level);other (inc private rent pre-2016)
5025;Gone down;female;15-24;not working;medium (A-Level);other (inc private rent pre-2016)
5026;not changed;female;25-34;full or part time;high (Degree);other (inc private rent pre-2016)
5027;up by 4% but less than 5%;female;35-44;not working;low (GCSE);council rent
5028;up by 3% but less than 4%;female;65+;not working;medium (A-Level);owned outright
5029;up by 4% but less than 5%;female;35-44;full or part time;high (Degree);other (inc private rent pre-2016)
5030;up by 2% but less than 3%;male;35-44;not working;medium (A-Level);mortgage
5031;up by 5% or more;female;65+;not working;medium (A-Level);owned outright
5032;up by 5% or more;male;45-54;full or part time;medium (A-Level);other (inc private rent pre-2016)
5033;not changed;female;55-64;not working;low (GCSE);owned outright
5034;up by 1% or less;female;25-34;full or part time;medium (A-Level);mortgage
5035;Gone down;male;45-54;full or part time;medium (A-Level);mortgage
5036;up by 2% but less than 3%;female;35-44;full or part time;high (Degree);mortgage
5037;not changed;female;15-24;full or part time;medium (A-Level);mortgage
5038;up by 1% but less than 2%;male;45-54;full or part time;medium (A-Level);mortgage
5039;up by 4% but less than 5%;male;45-54;full or part time;medium (A-Level);mortgage
5040;up by 5% or more;female;55-64;not working;low (GCSE);mortgage
5041;up by 5% or more;male;65+;not working;low (GCSE);council rent
5042;up by 5% or more;female;65+;not working;low (GCSE);mortgage
5043;up by 4% but less than 5%;female;25-34;full or part time;high (Degree);mortgage
5044;Gone down;female;15-24;full or part time;medium (A-Level);council rent
5045;up by 4% but less than 5%;male;35-44;full or part time;medium (A-Level);council rent
5046;up by 5% or more;female;45-54;not working;low (GCSE);council rent
5047;up by 4% but less than 5%;male;15-24;full or part time;medium (A-Level);council rent
5048;not changed;male;45-54;full or part time;medium (A-Level);mortgage
5049;up by 5% or more;male;45-54;not working;low (GCSE);mortgage
5050;up by 1% but less than 2%;male;25-34;full or part time;high (Degree);mortgage
5051;up by 5% or more;female;25-34;not working;medium (A-Level);other (inc private rent pre-2016)
5052;Gone down;female;35-44;not working;medium (A-Level);council rent
5053;up by 4% but less than 5%;male;55-64;not working;medium (A-Level);owned outright
5054;up by 3% but less than 4%;male;35-44;full or part time;medium (A-Level);council rent
5055;up by 5% or more;female;35-44;not working;medium (A-Level);council rent
5056;up by 2% but less than 3%;male;15-24;full or part time;medium (A-Level);council rent
5057;up by 1% but less than 2%;male;35-44;full or part time;high (Degree);mortgage
5058;not changed;female;45-54;full or part time;low (GCSE);council rent
5059;up by 2% but less than 3%;female;45-54;full or part time;medium (A-Level);owned outright
5060;not changed;male;55-64;full or part time;medium (A-Level);mortgage
5061;Gone down;male;15-24;full or part time;medium (A-Level);mortgage
5062;up by 1% but less than 2%;female;25-34;full or part time;high (Degree);mortgage
5063;Gone down;male;35-44;full or part time;medium (A-Level);mortgage
5064;not changed;male;55-64;full or part time;medium (A-Level);owned outright
5065;up by 1% but less than 2%;female;35-44;full or part time;high (Degree);mortgage
5066;not changed;male;25-34;full or part time;medium (A-Level);mortgage
5067;up by 3% but less than 4%;female;55-64;not working;medium (A-Level);owned outright
5068;up by 5% or more;female;45-54;full or part time;low (GCSE);council rent
5069;Gone down;male;55-64;full or part time;low (GCSE);owned outright
5070;up by 2% but less than 3%;female;25-34;not working;low (GCSE);other (inc private rent pre-2016)
5071;up by 2% but less than 3%;male;35-44;full or part time;high (Degree);other (inc private rent pre-2016)
5072;up by 2% but less than 3%;female;45-54;not working;medium (A-Level);owned outright
5073;up by 2% but less than 3%;male;35-44;full or part time;medium (A-Level);mortgage
5074;not changed;female;35-44;full or part time;medium (A-Level);mortgage
5075;up by 1% but less than 2%;male;35-44;full or part time;medium (A-Level);owned outright
5076;up by 3% but less than 4%;female;45-54;full or part time;medium (A-Level);mortgage
5077;up by 1% but less than 2%;female;35-44;full or part time;medium (A-Level);mortgage
5078;not changed;male;45-54;full or part time;high (Degree);mortgage
5079;not changed;male;45-54;full or part time;medium (A-Level);mortgage
5080;not changed;male;45-54;not working;medium (A-Level);owned outright
5081;up by 3% but less than 4%;female;45-54;full or part time;high (Degree);mortgage
5082;up by 2% but less than 3%;male;45-54;full or part time;high (Degree);owned outright
5083;up by 4% but less than 5%;female;45-54;full or part time;high (Degree);mortgage
5084;not changed;male;25-34;full or part time;medium (A-Level);mortgage
5085;up by 5% or more;female;55-64;full or part time;medium (A-Level);owned outright
5086;not changed;female;65+;not working;medium (A-Level);owned outright
5087;Gone down;male;55-64;not working;medium (A-Level);mortgage
5088;up by 1% or less;female;35-44;not working;high (Degree);other (inc private rent pre-2016)
5089;up by 2% but less than 3%;female;35-44;not working;high (Degree);mortgage
5090;up by 2% but less than 3%;female;35-44;not working;medium (A-Level);mortgage
5091;up by 2% but less than 3%;female;35-44;not working;medium (A-Level);other (inc private rent pre-2016)
5092;not changed;female;25-34;full or part time;high (Degree);mortgage
